epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.327,3.28684,5.08323,3.04484,0,0,0,0,2.91728,5.31825,2.69046,0.00010005,0.00010005,0.00010005
2,218.921,2.7651,4.38301,2.39548,0.02741,0.25717,0.1167,0.04787,2.21428,4.71783,2.12845,0.000201077,0.000201077,0.000201077
3,327.323,2.3641,3.47104,2.1084,0.69745,0.14815,0.24178,0.1142,2.13917,3.9432,1.96998,0.000298658,0.000298658,0.000298658
4,436.05,2.24744,2.95481,1.97392,0.38691,0.33221,0.31484,0.13428,2.25844,3.22391,1.96318,0.000392794,0.000392794,0.000392794
5,544.072,2.24044,2.78307,1.89927,0.41949,0.40043,0.40035,0.18649,2.11728,2.89057,1.82825,0.00040629,0.00040629,0.00040629
6,652.55,2.1133,2.61237,1.82658,0.68895,0.37853,0.47433,0.24522,2.00689,2.92307,1.87221,0.000399112,0.000399112,0.000399112
7,759.805,2.11494,2.53,1.845,0.5288,0.44005,0.46117,0.23741,1.9495,2.55194,1.79421,0.000391935,0.000391935,0.000391935
8,867.228,2.04271,2.39095,1.78854,0.69076,0.41103,0.48667,0.25486,1.93848,2.6742,1.82246,0.000384757,0.000384757,0.000384757
9,974.705,2.00033,2.33119,1.73239,0.74982,0.41971,0.52608,0.28108,1.85086,2.6785,1.72884,0.00037758,0.00037758,0.00037758
10,1081.76,1.96394,2.18541,1.68132,0.60423,0.48728,0.51309,0.30319,1.805,2.51297,1.73744,0.000370403,0.000370403,0.000370403
11,1188.91,1.93517,2.19569,1.67257,0.77121,0.4842,0.54406,0.31137,1.7719,2.2846,1.64607,0.000363225,0.000363225,0.000363225
12,1295.85,1.95953,2.1726,1.69999,0.6832,0.50289,0.5864,0.31392,1.90997,2.26187,1.7567,0.000356048,0.000356048,0.000356048
13,1402.63,1.87326,2.13098,1.6423,0.65722,0.52224,0.57139,0.3088,1.93812,2.33097,1.77829,0.00034887,0.00034887,0.00034887
14,1510.04,1.85882,2.05414,1.60694,0.75416,0.4832,0.57419,0.31834,1.97673,2.13294,1.79047,0.000341693,0.000341693,0.000341693
15,1617.82,1.83432,2.03734,1.59559,0.7511,0.48011,0.55133,0.30774,1.93699,2.23003,1.81805,0.000334515,0.000334515,0.000334515
16,1725.05,1.84754,2.11395,1.64209,0.8058,0.46977,0.5326,0.28962,1.93978,2.23082,1.83735,0.000327337,0.000327337,0.000327337
17,1832.2,1.88129,2.06762,1.6143,0.8266,0.41674,0.56317,0.30398,1.82337,2.16524,1.64443,0.00032016,0.00032016,0.00032016
18,1942.21,1.84048,2.02673,1.58555,0.84049,0.44929,0.58037,0.31712,1.83108,2.20245,1.69077,0.000312983,0.000312983,0.000312983
19,2048.85,1.84331,2.03583,1.59056,0.61626,0.50382,0.57112,0.30835,1.88032,2.2339,1.74318,0.000305805,0.000305805,0.000305805
20,2156.97,1.82517,2.034,1.60155,0.72231,0.52506,0.60509,0.32519,1.7908,2.1434,1.67852,0.000298627,0.000298627,0.000298627
21,2263.91,1.81724,2.0162,1.59773,0.78796,0.46343,0.58353,0.30192,1.91224,2.12505,1.72739,0.00029145,0.00029145,0.00029145
22,2370.97,1.83408,1.97613,1.59886,0.8153,0.43764,0.58424,0.32561,1.86334,2.13751,1.68254,0.000284272,0.000284272,0.000284272
